id,name,age,salary
1,User_1_1496,48,37327
2,User_2_1496,53,19699
3,User_3_1496,55,20143
4,User_4_1496,24,18546
5,User_5_1496,57,49510
6,User_6_1496,23,16997
7,User_7_1496,41,43777
9,User_9_1496,51,32912
10,User_10_1496,31,17826
11,User_11_1496,18,31510
12,User_12_1496,46,47603
13,User_13_1496,22,4673
14,User_14_1496,49,29732
15,User_15_1496,18,37522
16,User_16_1496,25,36149
18,User_18_1496,30,19910
19,User_19_1496,41,19348
21,User_21_1496,32,10657
22,User_22_1496,20,27218
23,User_23_1496,26,3168
26,User_26_1496,46,44441
27,User_27_1496,56,9242
28,User_28_1496,31,30812
29,User_29_1496,50,16816
30,User_30_1496,33,39185
31,User_31_1496,22,10146
32,User_32_1496,34,10280
33,User_33_1496,38,44779
34,User_34_1496,57,24417
36,User_36_1496,20,17054
37,User_37_1496,25,9286
38,User_38_1496,28,8685
39,User_39_1496,55,10067
40,User_40_1496,59,18322
41,User_41_1496,40,47097
42,User_42_1496,27,45924
44,User_44_1496,53,33658
45,User_45_1496,56,5105
46,User_46_1496,33,18287
48,User_48_1496,18,41833
49,User_49_1496,33,6756
50,User_50_1496,27,31080
51,User_51_1496,43,47851
52,User_52_1496,18,11773
53,User_53_1496,58,48751
54,User_54_1496,54,44058
55,User_55_1496,47,41742
56,User_56_1496,46,15923
57,User_57_1496,18,31505
58,User_58_1496,58,4479
59,User_59_1496,42,43067
61,User_61_1496,59,10611
62,User_62_1496,51,32484
63,User_63_1496,44,10387
64,User_64_1496,19,45183
65,User_65_1496,33,30586
66,User_66_1496,34,44841
67,User_67_1496,33,47238
68,User_68_1496,41,32574
70,User_70_1496,53,42120
71,User_71_1496,51,14792
73,User_73_1496,21,26169
74,User_74_1496,36,22842
75,User_75_1496,35,35913
76,User_76_1496,27,12577
77,User_77_1496,56,25086
79,User_79_1496,40,48869
80,User_80_1496,32,15580
81,User_81_1496,44,39722
82,User_82_1496,48,19591
83,User_83_1496,31,39994
84,User_84_1496,19,6767
86,User_86_1496,56,36644
87,User_87_1496,27,9145
88,User_88_1496,60,12772
89,User_89_1496,52,26457
92,User_92_1496,52,49372
93,User_93_1496,43,43229
94,User_94_1496,30,25982
95,User_95_1496,36,21613
96,User_96_1496,28,7877
97,User_97_1496,39,3641
98,User_98_1496,48,25292
99,User_99_1496,58,44138
100,User_100_1496,47,49154
104,User_104_1496,42,27273
105,User_105_1496,24,26204
106,User_106_1496,22,30681
107,User_107_1496,32,3424
108,User_108_1496,30,7616
109,User_109_1496,18,34171
110,User_110_1496,23,4545
111,User_111_1496,19,6878
112,User_112_1496,60,33283
113,User_113_1496,49,37470
114,User_114_1496,40,29349
116,User_116_1496,53,7181
117,User_117_1496,53,21108
118,User_118_1496,26,41100
119,User_119_1496,35,14749
120,User_120_1496,55,11982
121,User_121_1496,49,36029
122,User_122_1496,31,20236
123,User_123_1496,43,14275
124,User_124_1496,36,20924
125,User_125_1496,40,26077
126,User_126_1496,57,29764
127,User_127_1496,25,12415
128,User_128_1496,32,22609
129,User_129_1496,32,17593
130,User_130_1496,39,45160
131,User_131_1496,42,45730
132,User_132_1496,27,5735
134,User_134_1496,42,24936
135,User_135_1496,51,15159
136,User_136_1496,19,25018
137,User_137_1496,31,21734
138,User_138_1496,37,6820
139,User_139_1496,24,43156
140,User_140_1496,18,18045
141,User_141_1496,25,6767
142,User_142_1496,52,23432
144,User_144_1496,55,6461
146,User_146_1496,60,44519
147,User_147_1496,32,26075
148,User_148_1496,20,48052
149,User_149_1496,22,4441
150,User_150_1496,47,49829
151,User_151_1496,21,3977
152,User_152_1496,28,41401
153,User_153_1496,59,14235
154,User_154_1496,33,20017
155,User_155_1496,35,31824
156,User_156_1496,21,32488
157,User_157_1496,42,27153
158,User_158_1496,48,5896
159,User_159_1496,48,41140
160,User_160_1496,37,3451
161,User_161_1496,59,42399
162,User_162_1496,44,37479
163,User_163_1496,27,48569
164,User_164_1496,24,6895
165,User_165_1496,44,49079
166,User_166_1496,39,20875
167,User_167_1496,25,15794
169,User_169_1496,40,38362
170,User_170_1496,23,9190
171,User_171_1496,55,13034
172,User_172_1496,45,29017
173,User_173_1496,55,28368
174,User_174_1496,42,32633
175,User_175_1496,49,9804
176,User_176_1496,57,20080
177,User_177_1496,44,31431
178,User_178_1496,19,23765
179,User_179_1496,56,10725
180,User_180_1496,55,11346
181,User_181_1496,60,30274
183,User_183_1496,55,24036
184,User_184_1496,22,12022
185,User_185_1496,37,47206
186,User_186_1496,44,33409
187,User_187_1496,23,26693
188,User_188_1496,25,32334
190,User_190_1496,39,21460
191,User_191_1496,28,8096
192,User_192_1496,32,22423
193,User_193_1496,60,22701
194,User_194_1496,58,49249
195,User_195_1496,54,10946
196,User_196_1496,23,29874
197,User_197_1496,48,46759
198,User_198_1496,43,40492
199,User_199_1496,37,39134
200,User_200_1496,56,31196
201,User_201_1496,49,29094
202,User_202_1496,50,42272
203,User_203_1496,50,27871
205,User_205_1496,22,40906
206,User_206_1496,46,25209
207,User_207_1496,33,5345
208,User_208_1496,32,3596
209,User_209_1496,21,41887
210,User_210_1496,40,8310
211,User_211_1496,39,12001
212,User_212_1496,21,9969
213,User_213_1496,41,16077
214,User_214_1496,18,26111
215,User_215_1496,44,13987
216,User_216_1496,46,7207
217,User_217_1496,59,39637
218,User_218_1496,51,48406
219,User_219_1496,30,19587
222,User_222_1496,57,9217
224,User_224_1496,54,46418
225,User_225_1496,49,46458
226,User_226_1496,26,16304
228,User_228_1496,19,31134
229,User_229_1496,60,5943
231,User_231_1496,24,46110
232,User_232_1496,25,37801
234,User_234_1496,21,42313
235,User_235_1496,56,16343
237,User_237_1496,33,34151
238,User_238_1496,18,34886
239,User_239_1496,45,25282
240,User_240_1496,60,22812
241,User_241_1496,28,19592
242,User_242_1496,36,29409
243,User_243_1496,49,41817
244,User_244_1496,39,9903
245,User_245_1496,56,6805
246,User_246_1496,18,42536
247,User_247_1496,58,36521
248,User_248_1496,22,9590
250,User_250_1496,49,16426
252,User_252_1496,37,5562
253,User_253_1496,23,41880
254,User_254_1496,26,42168
255,User_255_1496,34,19711
256,User_256_1496,49,10606
257,User_257_1496,54,36923
258,User_258_1496,58,31694
259,User_259_1496,26,25312
260,User_260_1496,51,46618
261,User_261_1496,23,35950
262,User_262_1496,41,7270
263,User_263_1496,56,18808
265,User_265_1496,35,23650
266,User_266_1496,51,29626
267,User_267_1496,47,49184
268,User_268_1496,60,17708
270,User_270_1496,38,40579
272,User_272_1496,21,3008
273,User_273_1496,57,37554
274,User_274_1496,46,29452
275,User_275_1496,23,24551
276,User_276_1496,42,20431
278,User_278_1496,40,17521
279,User_279_1496,42,4280
280,User_280_1496,60,34607
281,User_281_1496,38,10448
282,User_282_1496,39,29661
283,User_283_1496,33,40972
284,User_284_1496,19,48359
285,User_285_1496,46,19153
286,User_286_1496,42,44620
287,User_287_1496,35,16147
289,User_289_1496,60,34778
290,User_290_1496,21,4145
291,User_291_1496,25,8822
292,User_292_1496,19,29450
293,User_293_1496,23,31824
295,User_295_1496,45,34485
296,User_296_1496,21,26689
297,User_297_1496,54,12605
298,User_298_1496,28,17705
299,User_299_1496,25,16673
300,User_300_1496,55,5081
301,User_301_1496,45,39501
302,User_302_1496,43,20787
304,User_304_1496,57,12634
305,User_305_1496,30,17930
307,User_307_1496,45,22405
308,User_308_1496,54,9971
309,User_309_1496,51,22541
310,User_310_1496,20,43724
311,User_311_1496,20,29738
312,User_312_1496,42,29122
314,User_314_1496,48,5926
315,User_315_1496,38,4448
316,User_316_1496,33,43391
318,User_318_1496,47,31120
319,User_319_1496,28,12594
320,User_320_1496,43,47684
321,User_321_1496,33,49942
322,User_322_1496,33,42764
323,User_323_1496,54,28252
324,User_324_1496,18,49024
327,User_327_1496,60,21205
329,User_329_1496,41,4732
331,User_331_1496,41,15526
332,User_332_1496,20,12389
333,User_333_1496,35,29515
334,User_334_1496,34,37738
335,User_335_1496,54,48728
336,User_336_1496,36,20258
337,User_337_1496,26,34546
338,User_338_1496,43,35304
340,User_340_1496,36,30589
341,User_341_1496,32,30018
342,User_342_1496,32,46625
343,User_343_1496,36,17220
344,User_344_1496,45,19305
345,User_345_1496,35,27972
346,User_346_1496,32,41173
347,User_347_1496,35,20221
348,User_348_1496,57,15666
