id,name,age,salary
1,User_1_1496,41,
2,User_2_1496,30,5924
3,User_3_1496,19,15144
4,User_4_1496,41,9333
5,User_5_1496,40,27655
6,User_6_1496,41,47333
7,User_7_1496,29,20178
8,User_8_1496,30,5015
9,User_9_1496,51,16922
10,User_10_1496,56,49092
11,User_11_1496,54,43938
12,User_12_1496,34,4028
13,User_13_1496,45,37738
14,User_14_1496,48,30957
15,User_15_1496,26,17121
16,User_16_1496,159,22497
17,User_17_1496,45,
18,User_18_1496,46,48044
19,User_19_1496,38,48418
20,User_20_1496,40,31115
21,User_21_1496,49,11688
22,User_22_1496,55,25704
23,User_23_1496,32,42256
24,User_24_1496,43,45614
25,User_25_1496,108,8451
26,User_26_1496,149,31828
27,User_27_1496,48,24683
28,User_28_1496,18,10091
29,User_29_1496,27,26260
30,User_30_1496,93,14639
31,User_31_1496,56,40459
32,User_32_1496,28,46595
33,User_33_1496,47,4213
34,User_34_1496,27,11195
35,User_35_1496,42,49538
36,User_36_1496,48,19688
37,User_37_1496,49,11547
38,User_38_1496,40,25400
39,User_39_1496,47,
40,User_40_1496,31,4835
41,User_41_1496,34,46238
42,User_42_1496,27,40570
43,User_43_1496,49,42233
44,User_44_1496,29,25094
45,User_45_1496,48,14239
46,User_46_1496,30,27698
47,User_47_1496,52,39404
48,User_48_1496,40,28722
49,User_49_1496,36,7803
50,User_50_1496,47,
51,User_51_1496,38,
52,User_52_1496,37,3788
53,User_53_1496,52,12104
54,User_54_1496,45,37326
55,User_55_1496,47,32164
56,User_56_1496,58,29580
57,User_57_1496,60,
58,User_58_1496,37,3642
59,User_59_1496,20,37044
60,User_60_1496,46,44776
61,User_61_1496,174,33813
62,User_62_1496,32,16521
63,User_63_1496,35,27407
64,User_64_1496,53,
65,User_65_1496,33,
66,User_66_1496,33,29346
67,User_67_1496,55,45623
68,User_68_1496,27,40304
69,User_69_1496,26,47115
70,User_70_1496,27,3889
71,User_71_1496,48,31133
72,User_72_1496,60,45826
73,User_73_1496,37,23516
74,User_74_1496,39,24614
75,User_75_1496,43,47963
76,User_76_1496,39,26205
77,User_77_1496,52,47412
78,User_78_1496,26,33205
79,User_79_1496,24,3953
80,User_80_1496,18,20853
81,User_81_1496,30,27218
82,User_82_1496,18,17968
83,User_83_1496,55,15010
84,User_84_1496,48,41305
85,User_85_1496,39,31001
86,User_86_1496,39,43975
87,User_87_1496,37,43893
88,User_88_1496,34,47593
89,User_89_1496,39,49764
90,User_90_1496,54,30967
91,User_91_1496,26,24075
92,User_92_1496,50,
93,User_93_1496,21,7935
94,User_94_1496,46,22262
95,User_95_1496,,19983
96,User_96_1496,32,5562
97,User_97_1496,53,48747
98,User_98_1496,40,
99,User_99_1496,-5,22815
100,User_100_1496,46,12452
101,User_101_1496,29,45215
102,User_102_1496,21,12456
103,User_103_1496,27,
104,User_104_1496,167,32618
105,User_105_1496,31,16587
106,User_106_1496,60,28945
107,User_107_1496,24,15384
108,User_108_1496,53,12508
109,User_109_1496,,22075
110,User_110_1496,42,10559
111,User_111_1496,30,49074
112,User_112_1496,60,40440
113,User_113_1496,26,22984
114,User_114_1496,40,4300
115,User_115_1496,57,41845
116,User_116_1496,59,19100
117,User_117_1496,25,3784
118,User_118_1496,113,13221
119,User_119_1496,19,33137
120,User_120_1496,37,39877
121,User_121_1496,36,19020
122,User_122_1496,26,5565
123,User_123_1496,22,
124,User_124_1496,,10654
125,User_125_1496,37,49261
126,User_126_1496,40,44020
127,User_127_1496,59,46942
128,User_128_1496,32,16328
129,User_129_1496,32,4282
130,User_130_1496,36,35684
131,User_131_1496,35,3078
132,User_132_1496,48,5877
133,User_133_1496,38,25492
134,User_134_1496,18,22162
135,User_135_1496,48,41407
136,User_136_1496,41,17177
137,User_137_1496,38,46216
138,User_138_1496,18,41730
139,User_139_1496,20,21236
140,User_140_1496,44,14823
141,User_141_1496,39,
142,User_142_1496,29,13646
143,User_143_1496,54,22477
144,User_144_1496,23,9215
145,User_145_1496,23,33919
146,User_146_1496,60,8593
147,User_147_1496,40,37748
148,User_148_1496,45,39986
149,User_149_1496,53,36010
150,User_150_1496,22,4034
151,User_151_1496,20,34639
152,User_152_1496,26,14717
153,User_153_1496,51,49516
154,User_154_1496,22,24243
155,User_155_1496,29,10972
156,User_156_1496,49,6294
157,User_157_1496,54,
158,User_158_1496,18,12314
159,User_159_1496,22,17838
160,User_160_1496,38,17810
161,User_161_1496,51,29110
162,User_162_1496,47,36232
163,User_163_1496,59,29393
164,User_164_1496,57,45620
165,User_165_1496,37,19110
166,User_166_1496,23,22098
167,User_167_1496,28,28450
168,User_168_1496,,10663
169,User_169_1496,35,33726
170,User_170_1496,27,7416
171,User_171_1496,43,23977
172,User_172_1496,21,28069
173,User_173_1496,50,25176
174,User_174_1496,58,43701
175,User_175_1496,34,9891
176,User_176_1496,52,39805
177,User_177_1496,23,15871
178,User_178_1496,27,10596
179,User_179_1496,39,26081
180,User_180_1496,40,20718
181,User_181_1496,60,21560
182,User_182_1496,,33136
183,User_183_1496,55,44373
184,User_184_1496,50,4804
185,User_185_1496,44,29297
186,User_186_1496,,38781
187,User_187_1496,,39250
188,User_188_1496,59,9946
189,User_189_1496,,49364
190,User_190_1496,50,29839
191,User_191_1496,49,9760
192,User_192_1496,20,16773
193,User_193_1496,57,32885
194,User_194_1496,51,27061
195,User_195_1496,52,25500
196,User_196_1496,40,23232
197,User_197_1496,21,
198,User_198_1496,30,42711
199,User_199_1496,32,15917
200,User_200_1496,42,29552
201,User_201_1496,27,15287
202,User_202_1496,43,48018
203,User_203_1496,,45601
204,User_204_1496,49,24087
205,User_205_1496,21,24814
206,User_206_1496,20,15539
207,User_207_1496,55,22563
208,User_208_1496,30,
209,User_209_1496,44,42298
210,User_210_1496,37,5733
211,User_211_1496,51,20670
212,User_212_1496,53,46025
213,User_213_1496,48,36717
214,User_214_1496,58,47756
215,User_215_1496,56,36464
216,User_216_1496,37,27204
217,User_217_1496,39,16018
218,User_218_1496,18,16000
219,User_219_1496,,26526
220,User_220_1496,45,22131
221,User_221_1496,49,43772
222,User_222_1496,50,27596
223,User_223_1496,28,11788
224,User_224_1496,43,3513
225,User_225_1496,34,16280
226,User_226_1496,38,23100
227,User_227_1496,23,9176
228,User_228_1496,45,39429
229,User_229_1496,43,40019
230,User_230_1496,25,36484
231,User_231_1496,51,32062
232,User_232_1496,33,9124
233,User_233_1496,56,11352
234,User_234_1496,18,32713
235,User_235_1496,54,43134
236,User_236_1496,28,21562
237,User_237_1496,59,12954
238,User_238_1496,51,47862
239,User_239_1496,54,
240,User_240_1496,44,48795
241,User_241_1496,41,
242,User_242_1496,19,47484
243,User_243_1496,51,42338
244,User_244_1496,32,36276
245,User_245_1496,29,26548
246,User_246_1496,40,3368
247,User_247_1496,36,36292
248,User_248_1496,36,6390
249,User_249_1496,34,16807
250,User_250_1496,,41830
251,User_251_1496,95,16069
252,User_252_1496,32,8810
253,User_253_1496,29,12173
254,User_254_1496,60,9534
255,User_255_1496,35,8711
256,User_256_1496,49,35286
257,User_257_1496,38,17872
258,User_258_1496,37,40738
259,User_259_1496,35,25457
260,User_260_1496,47,3743
261,User_261_1496,52,14144
262,User_262_1496,58,41713
263,User_263_1496,28,19717
264,User_264_1496,52,12151
265,User_265_1496,60,24150
266,User_266_1496,18,36050
267,User_267_1496,40,26945
268,User_268_1496,47,14407
269,User_269_1496,23,25728
270,User_270_1496,34,35151
271,User_271_1496,59,
272,User_272_1496,51,18165
273,User_273_1496,48,31268
274,User_274_1496,24,3791
275,User_275_1496,38,17775
276,User_276_1496,54,
277,User_277_1496,29,26723
278,User_278_1496,46,49765
279,User_279_1496,36,40411
280,User_280_1496,22,12276
281,User_281_1496,52,23116
282,User_282_1496,42,31253
283,User_283_1496,30,3709
284,User_284_1496,20,23260
285,User_285_1496,34,32814
286,User_286_1496,30,44674
287,User_287_1496,21,8895
288,User_288_1496,37,39318
289,User_289_1496,49,44559
290,User_290_1496,39,
291,User_291_1496,22,
292,User_292_1496,36,32203
293,User_293_1496,48,46720
294,User_294_1496,46,4193
295,User_295_1496,60,40915
296,User_296_1496,54,6904
297,User_297_1496,36,34136
298,User_298_1496,50,9142
299,User_299_1496,59,38183
300,User_300_1496,43,23328
301,User_301_1496,21,39258
302,User_302_1496,37,7713
303,User_303_1496,34,22183
304,User_304_1496,33,23374
305,User_305_1496,25,18255
306,User_306_1496,60,48681
307,User_307_1496,45,44779
308,User_308_1496,19,4470
309,User_309_1496,55,16828
310,User_310_1496,26,49668
311,User_311_1496,60,8907
312,User_312_1496,41,47699
313,User_313_1496,34,30673
314,User_314_1496,42,43950
315,User_315_1496,19,5026
316,User_316_1496,37,3065
317,User_317_1496,60,46138
318,User_318_1496,57,25990
319,User_319_1496,33,13713
320,User_320_1496,55,33293
321,User_321_1496,57,34773
322,User_322_1496,30,18702
323,User_323_1496,57,24551
324,User_324_1496,52,6587
325,User_325_1496,56,48947
326,User_326_1496,43,37032
327,User_327_1496,44,35128
328,User_328_1496,41,3836
329,User_329_1496,39,38805
330,User_330_1496,23,6612
331,User_331_1496,28,29238
332,User_332_1496,21,24732
333,User_333_1496,35,25715
334,User_334_1496,18,20111
335,User_335_1496,47,24112
336,User_336_1496,48,30863
337,User_337_1496,39,40807
338,User_338_1496,35,40442
339,User_339_1496,50,47520
340,User_340_1496,58,29747
341,User_341_1496,46,18974
342,User_342_1496,48,45712
343,User_343_1496,42,34437
344,User_344_1496,54,13290
345,User_345_1496,53,49100
346,User_346_1496,34,34130
347,User_347_1496,52,19856
348,User_348_1496,51,47650
349,User_349_1496,51,45488
350,User_350_1496,37,28778
351,User_351_1496,58,10965
352,User_352_1496,50,
353,User_353_1496,87,8921
354,User_354_1496,57,11798
355,User_355_1496,33,49672
356,User_356_1496,28,11249
357,User_357_1496,,13854
358,User_358_1496,22,32011
359,User_359_1496,32,45275
360,User_360_1496,45,30069
361,User_361_1496,49,39023
362,User_362_1496,54,40294
363,User_363_1496,44,21403
364,User_364_1496,58,32369
365,User_365_1496,179,19485
366,User_366_1496,44,15880
367,User_367_1496,20,43768
368,User_368_1496,24,21718
369,User_369_1496,22,32541
370,User_370_1496,40,23350
371,User_371_1496,36,20281
372,User_372_1496,,17464
373,User_373_1496,28,
374,User_374_1496,59,47518
375,User_375_1496,39,24660
376,User_376_1496,57,
