id,name,age,salary
1,User_1_1496,55,43032
2,User_2_1496,55,11387
3,User_3_1496,52,5001
4,User_4_1496,33,25051
5,User_5_1496,35,40843
6,User_6_1496,50,31400
7,User_7_1496,21,14772
8,User_8_1496,54,43691
9,User_9_1496,59,39344
10,User_10_1496,59,6875
11,User_11_1496,55,10496
12,User_12_1496,41,35033
13,User_13_1496,47,9248
14,User_14_1496,22,40799
15,User_15_1496,47,22651
16,User_16_1496,49,16867
17,User_17_1496,48,27527
18,User_18_1496,52,30441
19,User_19_1496,53,8725
20,User_20_1496,45,34836
21,User_21_1496,57,19415
22,User_22_1496,44,48891
23,User_23_1496,31,18735
24,User_24_1496,40,18851
25,User_25_1496,,10435
26,User_26_1496,32,36253
27,User_27_1496,111,40694
28,User_28_1496,42,26913
29,User_29_1496,172,45143
30,User_30_1496,24,20061
31,User_31_1496,59,43023
32,User_32_1496,58,13075
33,User_33_1496,29,26136
34,User_34_1496,69,41352
35,User_35_1496,42,6304
36,User_36_1496,25,12073
37,User_37_1496,59,13269
38,User_38_1496,22,47381
39,User_39_1496,32,11702
40,User_40_1496,46,33139
41,User_41_1496,42,45780
42,User_42_1496,55,39380
43,User_43_1496,56,40948
44,User_44_1496,58,36968
45,User_45_1496,35,
46,User_46_1496,21,
47,User_47_1496,30,43787
48,User_48_1496,55,3906
49,User_49_1496,49,
50,User_50_1496,39,43728
51,User_51_1496,31,23790
52,User_52_1496,37,35837
53,User_53_1496,39,33595
54,User_54_1496,144,21535
55,User_55_1496,55,36611
56,User_56_1496,35,42041
57,User_57_1496,20,28960
58,User_58_1496,28,13615
59,User_59_1496,37,35153
60,User_60_1496,19,33189
61,User_61_1496,155,23266
62,User_62_1496,18,29958
63,User_63_1496,34,9857
64,User_64_1496,24,31058
65,User_65_1496,105,44334
66,User_66_1496,26,27339
67,User_67_1496,84,37282
68,User_68_1496,19,13750
69,User_69_1496,51,6132
70,User_70_1496,47,19834
71,User_71_1496,38,44851
72,User_72_1496,25,34218
73,User_73_1496,25,49470
74,User_74_1496,40,46421
75,User_75_1496,26,29067
76,User_76_1496,50,22858
77,User_77_1496,53,39210
78,User_78_1496,21,13826
79,User_79_1496,34,6862
80,User_80_1496,51,
81,User_81_1496,25,6856
82,User_82_1496,43,24968
83,User_83_1496,48,29388
84,User_84_1496,32,33715
85,User_85_1496,38,47576
86,User_86_1496,23,48431
87,User_87_1496,44,33397
88,User_88_1496,21,4269
89,User_89_1496,51,30277
90,User_90_1496,21,45218
91,User_91_1496,24,15983
92,User_92_1496,19,10709
93,User_93_1496,44,29127
94,User_94_1496,51,3545
95,User_95_1496,60,5626
96,User_96_1496,44,23100
97,User_97_1496,28,47454
98,User_98_1496,37,13942
99,User_99_1496,24,6263
100,User_100_1496,59,20176
101,User_101_1496,49,28508
102,User_102_1496,103,29838
103,User_103_1496,24,43082
104,User_104_1496,48,46363
105,User_105_1496,35,10226
106,User_106_1496,25,30815
107,User_107_1496,32,40917
108,User_108_1496,43,
109,User_109_1496,59,31138
110,User_110_1496,37,23708
111,User_111_1496,27,42163
112,User_112_1496,160,27949
113,User_113_1496,34,14058
114,User_114_1496,20,14002
115,User_115_1496,53,24013
116,User_116_1496,60,3424
117,User_117_1496,55,18866
118,User_118_1496,46,31285
119,User_119_1496,48,36021
120,User_120_1496,34,12698
121,User_121_1496,44,22224
122,User_122_1496,18,28663
123,User_123_1496,24,33239
124,User_124_1496,48,10880
125,User_125_1496,3,27046
126,User_126_1496,28,36022
127,User_127_1496,59,13879
128,User_128_1496,23,29960
129,User_129_1496,51,29032
130,User_130_1496,40,40620
131,User_131_1496,19,
132,User_132_1496,48,16212
133,User_133_1496,50,24477
134,User_134_1496,58,28913
135,User_135_1496,58,21490
136,User_136_1496,18,47176
137,User_137_1496,50,28391
138,User_138_1496,45,33189
139,User_139_1496,22,37277
140,User_140_1496,39,44644
141,User_141_1496,41,33813
142,User_142_1496,31,23830
143,User_143_1496,142,26538
144,User_144_1496,60,23973
145,User_145_1496,30,8233
146,User_146_1496,41,7809
147,User_147_1496,32,37118
148,User_148_1496,58,48929
149,User_149_1496,197,15142
150,User_150_1496,51,48398
151,User_151_1496,,37592
152,User_152_1496,39,36155
153,User_153_1496,-3,31657
154,User_154_1496,51,19239
155,User_155_1496,54,28137
156,User_156_1496,50,27138
157,User_157_1496,20,45475
