id,name,age,salary
1,User_1_1496,19,34582
2,User_2_1496,38,36404
3,User_3_1496,39,39336
4,User_4_1496,49,17472
5,User_5_1496,30,35008
6,User_6_1496,42,43684
7,User_7_1496,30,18527
9,User_9_1496,22,26735
11,User_11_1496,34,41863
12,User_12_1496,48,45222
13,User_13_1496,60,32725
15,User_15_1496,59,30006
16,User_16_1496,54,15361
17,User_17_1496,25,35714
18,User_18_1496,48,45910
19,User_19_1496,51,29118
20,User_20_1496,55,6609
21,User_21_1496,44,39481
22,User_22_1496,59,39275
24,User_24_1496,19,32789
25,User_25_1496,30,9291
26,User_26_1496,50,24349
27,User_27_1496,30,47995
28,User_28_1496,26,28235
29,User_29_1496,55,21920
30,User_30_1496,22,22388
31,User_31_1496,23,48815
32,User_32_1496,51,10431
33,User_33_1496,32,21037
34,User_34_1496,30,17266
36,User_36_1496,47,29925
37,User_37_1496,24,14889
38,User_38_1496,27,20458
39,User_39_1496,21,35837
40,User_40_1496,51,28096
41,User_41_1496,41,5852
42,User_42_1496,30,35912
43,User_43_1496,55,3397
45,User_45_1496,43,7188
47,User_47_1496,51,41324
48,User_48_1496,44,39662
49,User_49_1496,41,34517
50,User_50_1496,19,6548
51,User_51_1496,21,45726
52,User_52_1496,37,49673
53,User_53_1496,44,12238
55,User_55_1496,52,27648
56,User_56_1496,42,4065
58,User_58_1496,25,29667
59,User_59_1496,41,34861
60,User_60_1496,20,41498
61,User_61_1496,49,31318
62,User_62_1496,35,15088
63,User_63_1496,26,14532
65,User_65_1496,33,38700
66,User_66_1496,34,3641
67,User_67_1496,32,13747
69,User_69_1496,43,15751
70,User_70_1496,42,17356
72,User_72_1496,37,33344
73,User_73_1496,33,27140
74,User_74_1496,44,38122
75,User_75_1496,45,46150
76,User_76_1496,43,15727
77,User_77_1496,26,18681
78,User_78_1496,59,48235
79,User_79_1496,31,30397
80,User_80_1496,34,31137
81,User_81_1496,36,28570
82,User_82_1496,19,26719
83,User_83_1496,50,11772
84,User_84_1496,46,40096
85,User_85_1496,55,12035
87,User_87_1496,19,43168
88,User_88_1496,30,4230
89,User_89_1496,38,22275
90,User_90_1496,18,49750
91,User_91_1496,59,47264
92,User_92_1496,55,23103
93,User_93_1496,47,46977
95,User_95_1496,36,35428
96,User_96_1496,36,48178
97,User_97_1496,48,21528
98,User_98_1496,19,7720
100,User_100_1496,26,10159
101,User_101_1496,53,49596
102,User_102_1496,33,45506
103,User_103_1496,29,15772
104,User_104_1496,39,20246
105,User_105_1496,31,20556
106,User_106_1496,53,9063
107,User_107_1496,35,43474
108,User_108_1496,26,46923
109,User_109_1496,20,35331
110,User_110_1496,41,25404
111,User_111_1496,22,18631
112,User_112_1496,27,19501
113,User_113_1496,49,12245
114,User_114_1496,26,8931
115,User_115_1496,37,25673
116,User_116_1496,38,41176
117,User_117_1496,54,4478
118,User_118_1496,57,23239
119,User_119_1496,44,27160
120,User_120_1496,43,38987
121,User_121_1496,27,36584
122,User_122_1496,34,13728
123,User_123_1496,29,37418
124,User_124_1496,31,23562
125,User_125_1496,27,42749
126,User_126_1496,31,19376
127,User_127_1496,20,24687
128,User_128_1496,51,45201
129,User_129_1496,31,30078
131,User_131_1496,36,41972
132,User_132_1496,20,47076
133,User_133_1496,40,11567
134,User_134_1496,21,46503
135,User_135_1496,41,44639
136,User_136_1496,20,21115
137,User_137_1496,54,26096
138,User_138_1496,28,11809
139,User_139_1496,34,43532
141,User_141_1496,19,36833
142,User_142_1496,19,21141
143,User_143_1496,45,25744
144,User_144_1496,43,8891
145,User_145_1496,48,46106
146,User_146_1496,49,10024
147,User_147_1496,43,27677
148,User_148_1496,19,14974
151,User_151_1496,57,45671
152,User_152_1496,51,36253
153,User_153_1496,49,42734
154,User_154_1496,53,12391
155,User_155_1496,57,19860
156,User_156_1496,41,15483
157,User_157_1496,45,44123
