id,name,age,salary
1,User_1_1496,40,
2,User_2_1496,52,27859
3,User_3_1496,29,13448
4,User_4_1496,34,42922
5,User_5_1496,29,35497
6,User_6_1496,56,46447
7,User_7_1496,50,27556
8,User_8_1496,30,35304
9,User_9_1496,51,18131
10,User_10_1496,58,16723
11,User_11_1496,59,6718
12,User_12_1496,30,35488
13,User_13_1496,35,22767
14,User_14_1496,41,36708
15,User_15_1496,30,31554
16,User_16_1496,24,17282
17,User_17_1496,52,36700
18,User_18_1496,63,46966
19,User_19_1496,54,41943
20,User_20_1496,,41270
21,User_21_1496,58,43962
22,User_22_1496,67,13702
23,User_23_1496,,30690
24,User_24_1496,57,12173
25,User_25_1496,25,29169
26,User_26_1496,25,4337
27,User_27_1496,57,35386
28,User_28_1496,26,37141
29,User_29_1496,46,47364
30,User_30_1496,21,41131
31,User_31_1496,46,12709
32,User_32_1496,43,48180
33,User_33_1496,36,32717
34,User_34_1496,173,28863
35,User_35_1496,46,39930
36,User_36_1496,19,29421
37,User_37_1496,59,11892
38,User_38_1496,56,11375
39,User_39_1496,24,46248
40,User_40_1496,32,46007
41,User_41_1496,32,26727
42,User_42_1496,35,27807
43,User_43_1496,20,42633
44,User_44_1496,36,8539
45,User_45_1496,52,26464
46,User_46_1496,24,31184
47,User_47_1496,45,49603
48,User_48_1496,39,4293
49,User_49_1496,29,24591
50,User_50_1496,20,47605
51,User_51_1496,55,19610
52,User_52_1496,52,47382
53,User_53_1496,22,36917
54,User_54_1496,34,
55,User_55_1496,48,32368
56,User_56_1496,54,30506
57,User_57_1496,,28433
58,User_58_1496,60,3873
59,User_59_1496,48,28999
60,User_60_1496,53,25328
61,User_61_1496,15,43152
62,User_62_1496,25,25730
63,User_63_1496,38,43634
64,User_64_1496,19,11882
65,User_65_1496,55,8114
66,User_66_1496,45,25827
67,User_67_1496,54,18389
68,User_68_1496,36,7072
69,User_69_1496,30,8227
70,User_70_1496,49,31827
71,User_71_1496,21,27814
72,User_72_1496,21,27358
73,User_73_1496,,40321
74,User_74_1496,59,39042
75,User_75_1496,60,42099
76,User_76_1496,52,10238
77,User_77_1496,20,7764
78,User_78_1496,27,47565
79,User_79_1496,54,24324
80,User_80_1496,50,49360
81,User_81_1496,54,41930
82,User_82_1496,57,44381
83,User_83_1496,,24782
84,User_84_1496,56,
85,User_85_1496,,
86,User_86_1496,34,19275
87,User_87_1496,30,37527
88,User_88_1496,47,22834
89,User_89_1496,19,34326
90,User_90_1496,20,25569
91,User_91_1496,54,16544
92,User_92_1496,31,15163
93,User_93_1496,32,40310
94,User_94_1496,23,45060
95,User_95_1496,40,44680
96,User_96_1496,42,10872
97,User_97_1496,41,6909
98,User_98_1496,39,11455
99,User_99_1496,25,41942
100,User_100_1496,33,48864
101,User_101_1496,46,24546
102,User_102_1496,25,26800
103,User_103_1496,24,34466
104,User_104_1496,35,43406
105,User_105_1496,40,16857
106,User_106_1496,54,13171
107,User_107_1496,48,28638
108,User_108_1496,36,43085
109,User_109_1496,22,10943
110,User_110_1496,48,34311
111,User_111_1496,53,23506
112,User_112_1496,94,30635
113,User_113_1496,59,24131
114,User_114_1496,46,8585
115,User_115_1496,49,18674
116,User_116_1496,36,10387
117,User_117_1496,29,44548
118,User_118_1496,31,16410
119,User_119_1496,44,20595
120,User_120_1496,18,40121
121,User_121_1496,22,24630
122,User_122_1496,48,41614
123,User_123_1496,30,28292
124,User_124_1496,28,43704
125,User_125_1496,36,42476
126,User_126_1496,36,40850
127,User_127_1496,51,40804
128,User_128_1496,56,
129,User_129_1496,47,3718
130,User_130_1496,18,15176
131,User_131_1496,42,15604
132,User_132_1496,30,13957
133,User_133_1496,25,36712
134,User_134_1496,37,26474
135,User_135_1496,44,34227
136,User_136_1496,18,34033
137,User_137_1496,35,11370
138,User_138_1496,38,28775
139,User_139_1496,34,7098
140,User_140_1496,28,20842
141,User_141_1496,32,11891
142,User_142_1496,53,40463
143,User_143_1496,156,39814
144,User_144_1496,36,49205
145,User_145_1496,18,6290
146,User_146_1496,21,3012
147,User_147_1496,,38694
148,User_148_1496,57,32060
149,User_149_1496,23,10956
150,User_150_1496,55,45558
151,User_151_1496,46,
152,User_152_1496,21,17248
153,User_153_1496,51,33697
154,User_154_1496,23,4047
155,User_155_1496,28,
156,User_156_1496,18,20353
157,User_157_1496,28,
158,User_158_1496,48,49936
159,User_159_1496,21,12179
160,User_160_1496,56,28094
161,User_161_1496,40,34026
162,User_162_1496,36,9352
163,User_163_1496,48,3579
164,User_164_1496,30,15550
165,User_165_1496,53,45517
166,User_166_1496,,13917
167,User_167_1496,53,6829
168,User_168_1496,30,12228
169,User_169_1496,58,48200
170,User_170_1496,51,49087
171,User_171_1496,19,22476
172,User_172_1496,53,21497
173,User_173_1496,131,20235
174,User_174_1496,46,10727
175,User_175_1496,31,33134
176,User_176_1496,99,49414
177,User_177_1496,52,14584
178,User_178_1496,49,30330
179,User_179_1496,19,12546
180,User_180_1496,58,34586
181,User_181_1496,43,43192
182,User_182_1496,56,33366
183,User_183_1496,25,43286
184,User_184_1496,50,46754
185,User_185_1496,44,20344
186,User_186_1496,22,25099
187,User_187_1496,23,18828
188,User_188_1496,59,49535
189,User_189_1496,41,37319
190,User_190_1496,50,43282
191,User_191_1496,,21219
192,User_192_1496,38,47935
193,User_193_1496,20,19486
194,User_194_1496,49,14544
195,User_195_1496,31,24196
196,User_196_1496,23,40258
197,User_197_1496,41,34357
198,User_198_1496,,48490
199,User_199_1496,56,12551
200,User_200_1496,46,45278
201,User_201_1496,42,40395
202,User_202_1496,39,43609
203,User_203_1496,19,32565
204,User_204_1496,28,34671
205,User_205_1496,23,38997
206,User_206_1496,27,32408
207,User_207_1496,30,36638
208,User_208_1496,42,22494
209,User_209_1496,58,3843
210,User_210_1496,48,42464
211,User_211_1496,59,3044
212,User_212_1496,,43657
