id,name,age,salary
1,User_1_5572,53,32567
2,User_2_3347,55,10485
3,User_3_4348,60,21548
4,User_4_5626,59,28666
5,User_5_6467,56,7400
6,User_6_8694,53,27984
7,User_7_2014,26,28132
8,User_8_6983,47,30112
9,User_9_4791,59,6197
11,User_11_3449,44,22096
12,User_12_8819,60,35500
13,User_13_3426,50,49862
14,User_14_6239,25,34848
17,User_17_9746,58,12496
18,User_18_6243,27,33084
19,User_19_7049,37,12444
20,User_20_3254,18,24751
21,User_21_7566,50,46820
22,User_22_1111,28,47160
23,User_23_7089,45,5189
24,User_24_1144,30,31065
25,User_25_3529,18,44456
27,User_27_3923,26,14602
28,User_28_8718,30,11241
29,User_29_3473,26,36896
30,User_30_7124,48,14558
31,User_31_2188,45,41675
32,User_32_2807,60,25163
33,User_33_9625,37,27737
34,User_34_3689,43,18459
35,User_35_7686,59,13090
36,User_36_4170,21,38781
37,User_37_9787,38,49923
38,User_38_4694,34,4117
39,User_39_3124,60,40907
40,User_40_4556,31,37415
41,User_41_1965,56,42302
43,User_43_7752,31,41178
44,User_44_5831,31,41822
47,User_47_7296,41,41003
48,User_48_8205,56,7170
50,User_50_3898,29,11291
51,User_51_4687,60,4336
52,User_52_2459,50,40357
53,User_53_3176,27,41012
54,User_54_2559,46,45375
55,User_55_4715,19,9513
56,User_56_2075,50,39117
58,User_58_2875,59,24959
59,User_59_9632,60,23645
60,User_60_3089,48,39885
61,User_61_1139,26,10795
62,User_62_3807,51,47198
63,User_63_1468,45,45730
65,User_65_6502,34,5442
67,User_67_4533,18,15860
68,User_68_6610,30,31478
69,User_69_9385,60,47260
70,User_70_9729,34,22200
71,User_71_4210,53,47714
72,User_72_1923,44,14291
73,User_73_2695,56,46133
74,User_74_7094,25,47492
76,User_76_6357,32,26976
77,User_77_6789,38,40776
78,User_78_7226,60,19537
79,User_79_6154,21,48223
80,User_80_8487,27,31158
81,User_81_8481,48,31048
82,User_82_7275,41,24198
83,User_83_5796,48,41138
84,User_84_4756,58,35138
85,User_85_7317,60,14977
86,User_86_7994,51,36752
87,User_87_6831,38,44609
88,User_88_8506,53,8801
89,User_89_1418,31,28805
90,User_90_2958,60,8830
91,User_91_5832,38,3964
92,User_92_1701,28,41120
93,User_93_8537,44,21731
94,User_94_6028,30,25682
96,User_96_6818,29,17228
97,User_97_3456,33,44674
98,User_98_1239,27,38262
99,User_99_2069,52,14358
100,User_100_6441,47,49591
101,User_101_6577,54,39605
102,User_102_6769,52,38871
103,User_103_3133,56,34593
104,User_104_7471,53,42638
105,User_105_9896,51,11354
106,User_106_6637,49,10746
107,User_107_5701,51,43900
108,User_108_1790,53,45622
